id;isbn;title;year;author
B-001;978-617-000-001;Кобзар;1840;Тарас Шевченко
B-002;978-617-000-002;Захар Беркут;1883;Іван Франко
B-003;978-617-000-003;Тигролови;1946;Іван Багряний
B-004;978-617-000-004;Місто;1928;Валер'ян Підмогильний
B-005;978-617-000-005;Лісова пісня;1911;Леся Українка
B-006;978-617-000-006;Intermezzo;1908;
B-007;978-617-000-007;Чорна рада;1857;Пантелеймон Куліш
B-008;978-617-000-008;Кайдашева сім'я;1879;Іван Нечуй-Левицький
B-009;978-617-000-009;Тіні забутих предків;1911;Михайло Коцюбинський
B-010;978-617-000-010;Хіба ревуть воли як ясла повні;1880;Панас Мирний
B-011;978-617-000-011;Місто;1928;Валер'ян Підмогильний
B-012;978-617-000-012;Листя трави;;
B-013;978-617-000-013;;2000;
B-014;978-617-000-014;Невідомий роман;багато;
